,Title,Date,Desc,Content,keywords
13,"White House Opposes Expanded Coronavirus Testing, Complicating Stimulus Talks",2020-10-16T22:14:56Z,Some administration officials say testing Americans with no symptoms of the coronavirus would hurt the economy and restrict civil liberties. Democrats and some prominent experts say it would slow the virus and bolster economic growth.,"No testing scheme, no test is perfect. There will always be people who go undetected, said Dr. David Dowdy, an infectious disease epidemiologist at Johns Hopkins University who has researched and wri… [+2055 chars]","['#chars', '#image', '#said', '#Argentina', '#Dr.']"
14,Trump Mimics Coronavirus ‘Superspreader’ Event in Barrett Swearing In,2020-10-27T13:08:12Z,Amy Coney Barrett was confirmed as the next Supreme Court justice only eight days before a presidential election.,"Justice Barrett, 48, who has seven children, will be the current courts youngest member, its third woman, its sixth Catholic and its only jurist from outside the Ivy League. A graduate of Notre Dame … [+2027 chars]","['#chars', '#image', '#said', '#Argentina', '#Dr.']"
15,Harrowing New Coronavirus Surge Rages Across America’s Heartland,2020-10-24T13:45:33Z,"The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resumed after pausing for safety concerns.","LiveUpdated Oct. 24, 2020, 9:31 a.m. ET
Oct. 24, 2020, 9:31 a.m. ET
The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resum… [+14587 chars]","['#chars', '#image', '#said', '#Argentina', '#record']"
16,SUNY Oneonta President Resigns After 700 Students Test Positive for Coronavirus,2020-10-15T22:40:58Z,The State University of New York at Oneonta had the worst coronavirus outbreak of any public university in the state.,"Although the university did not directly tie Dr. Morriss resignation to its handling of the outbreak, state and local officials at a news conference on Thursday announcing the change praised the effo… [+1682 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
17,Can I Safely Send My Kid to Day Care? We Asked the Experts,2020-10-23T13:29:11Z,"As states struggle with reopening, parents are scrambling to figure out child care amid a fall surge of coronavirus.","When it comes to transmission of Covid-19 through day cares, data remains scarce.
Nevertheless, studies from several countries have found that, once they are exposed, kids under 10 are about half as… [+2078 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
18,The I.M.F. sees early signs of a global economic recovery.,2020-10-13T12:30:05Z,The world finance group warns that the crisis is “far from over” and that uncertainty over the coronavirus pandemic remains.,"The recession is hammering both advanced and emerging economies. The United States economy is expected to contract 4.3 percent this year, and the eurozone economy is projected to shrink 8.3 percent, … [+1109 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
19,"China Got Better. We Got Sicker. Thanks, Trump.",2020-10-13T23:50:48Z,"With a different leader, the United States could have contained the coronavirus.","America cannot employ such a strategy. We dont have an authoritarian government (yet), and I sure dont want one. But we failed to produce a democratic consensus to do the same job.
Thats what is so … [+2026 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
20,Coronavirus: Argentina's confirmed cases surpass one million,2020-10-20T02:07:03Z,The South American nation becomes the fifth country in the world to reach the grim milestone.,"image captionThe outbreak has intensified in the past few months in Argentina - especially in the Buenos Aires province
Argentina has become the fifth country in the world to record one million conf… [+877 chars]","['#chars', '#image', '#Argentina', '#outbreak', '#record']"
21,"Why False Positives Matter, Too",2020-10-25T09:00:15Z,False negatives are not the only troublesome outcome of a faulty coronavirus test.,"The ever-increasing availability of virtual platforms might make that transition easy for some, Dr. Mazer said. But for people whose work can only be done in person, or who lack a financial buffer, t… [+2237 chars]","['#chars', '#image', '#Argentina', '#Dr.', '#said']"
23,Coronavirus: Europe’s tough restrictions ‘absolutely necessary’,2020-10-15T15:06:57Z,The World Health Organization's warning comes as major European cities go into red alert.,"image captionMeasures against coronavirus are being ramped up in cities across Europe
Tough restrictions are ""absolutely necessary"" to save lives, the World Health Organization (WHO) has warned as E… [+4463 chars]","['#chars', '#image', '#Argentina', '#Dr.', '#said']"
25,Coronavirus: Clashes in Naples over tightening restrictions,2020-10-24T07:55:09Z,"Hundreds protested in the southern Italian city, some throwing firecrackers and smoke bombs.","image captionSmoke bombs and firecrackers were thrown
Protesters in Naples opposed to stricter coronavirus measures clashed with police late into the night. 
Some threw smoke bombs and firecrackers… [+2245 chars]","['#chars', '#image', '#Argentina', '#Dr.', '#said']"
27,"Coronavirus Has Killed Nearly 10,000 Minks in Utah",2020-10-12T16:10:00Z,"Humans aren’t the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked to the viral pandemic—outbreaks that likely began from con…","Humans arent the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked… [+2192 chars]","['#chars', '#image', '#Argentina', '#Dr.', '#said']"
28,"With Russia's Coronavirus Vaccine, Putin Jumps Ahead of Trump",2020-10-13T09:00:08Z,"As America retreats from world affairs, Russia is promising other nations help on the pandemic.","The United States, for example, has secured advance purchase commitments for over 800 million doses of at least six candidate vaccines, all for itself. Compounding an image of selfishness, the Trump … [+2182 chars]","['#chars', '#image', '#Argentina', '#Dr.', '#said']"
29,Dating During the Coronavirus Pandemic Means Fear. Again.,2020-10-18T14:28:33Z,I never imagined I’d live to witness another viral threat.,"Others have made different adaptations, seeking companionship over intimacy. Braden Toan, another friend in his 60s, changed his dating profile in May to declare sex off limits. That being said, his … [+2079 chars]","['#chars', '#image', '#said', '#Argentina', '#Dr.']"
30,"Coronavirus, Supreme Court, Ikea: Your Wednesday Evening Briefing",2020-10-14T22:05:07Z,Here’s what you need to know at the end of the day.,"10. And finally, what does Los Angeles smell like?
Inspired by the science writer Harold McGees new book about the worlds odors and aromas, Nose Dive, our California restaurant critic used her olfac… [+603 chars]","['#chars', '#image', '#said', '#Argentina', '#Dr.']"
31,President Andrzej Duda of Poland Tests Positive for Coronavirus,2020-10-24T11:37:44Z,A spokesman said the head of state was feeling well despite a positive test result. A second political leader is also in isolation after he came in contact with an infected person.,"Mr. Duda visited the stadium on Friday and met with site managers, an encounter that has now raised concerns that the construction will have to be halted. He also met Iga Swiatek, who this month beca… [+1368 chars]","['#chars', '#image', '#said', '#Argentina', '#Dr.']"
32,N.F.L. Punishes Titans for Their Handling of Coronavirus Outbreak,2020-10-25T13:50:51Z,"A heavy fine, but no suspensions, come after two dozen players and staff members tested positive for the virus.","Still, the fine, the largest for a violation of the protocols, came as the league tries to keep its season on track amid a spike in infections that has spread to at least four teams. The decision to … [+2104 chars]","['#chars', '#image', '#said', '#Argentina', '#Dr.']"
33,"White House Opposes Expanded Coronavirus Testing, Complicating Stimulus Talks",2020-10-16T22:14:56Z,Some administration officials say testing Americans with no symptoms of the coronavirus would hurt the economy and restrict civil liberties. Democrats and some prominent experts say it would slow the virus and bolster economic growth.,"No testing scheme, no test is perfect. There will always be people who go undetected, said Dr. David Dowdy, an infectious disease epidemiologist at Johns Hopkins University who has researched and wri… [+2055 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
34,Trump Mimics Coronavirus ‘Superspreader’ Event in Barrett Swearing In,2020-10-27T13:08:12Z,Amy Coney Barrett was confirmed as the next Supreme Court justice only eight days before a presidential election.,"Justice Barrett, 48, who has seven children, will be the current courts youngest member, its third woman, its sixth Catholic and its only jurist from outside the Ivy League. A graduate of Notre Dame … [+2027 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
35,Harrowing New Coronavirus Surge Rages Across America’s Heartland,2020-10-24T13:45:33Z,"The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resumed after pausing for safety concerns.","LiveUpdated Oct. 24, 2020, 9:31 a.m. ET
Oct. 24, 2020, 9:31 a.m. ET
The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resum… [+14587 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
36,SUNY Oneonta President Resigns After 700 Students Test Positive for Coronavirus,2020-10-15T22:40:58Z,The State University of New York at Oneonta had the worst coronavirus outbreak of any public university in the state.,"Although the university did not directly tie Dr. Morriss resignation to its handling of the outbreak, state and local officials at a news conference on Thursday announcing the change praised the effo… [+1682 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
37,Can I Safely Send My Kid to Day Care? We Asked the Experts,2020-10-23T13:29:11Z,"As states struggle with reopening, parents are scrambling to figure out child care amid a fall surge of coronavirus.","When it comes to transmission of Covid-19 through day cares, data remains scarce.
Nevertheless, studies from several countries have found that, once they are exposed, kids under 10 are about half as… [+2078 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
38,The I.M.F. sees early signs of a global economic recovery.,2020-10-13T12:30:05Z,The world finance group warns that the crisis is “far from over” and that uncertainty over the coronavirus pandemic remains.,"The recession is hammering both advanced and emerging economies. The United States economy is expected to contract 4.3 percent this year, and the eurozone economy is projected to shrink 8.3 percent, … [+1109 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
39,"China Got Better. We Got Sicker. Thanks, Trump.",2020-10-13T23:50:48Z,"With a different leader, the United States could have contained the coronavirus.","America cannot employ such a strategy. We dont have an authoritarian government (yet), and I sure dont want one. But we failed to produce a democratic consensus to do the same job.
Thats what is so … [+2026 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
40,Coronavirus: Argentina's confirmed cases surpass one million,2020-10-20T02:07:03Z,The South American nation becomes the fifth country in the world to reach the grim milestone.,"image captionThe outbreak has intensified in the past few months in Argentina - especially in the Buenos Aires province
Argentina has become the fifth country in the world to record one million conf… [+877 chars]","['#chars', '#image', '#Argentina', '#Dr.', '#said']"
41,"Why False Positives Matter, Too",2020-10-25T09:00:15Z,False negatives are not the only troublesome outcome of a faulty coronavirus test.,"The ever-increasing availability of virtual platforms might make that transition easy for some, Dr. Mazer said. But for people whose work can only be done in person, or who lack a financial buffer, t… [+2237 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
43,Coronavirus: Europe’s tough restrictions ‘absolutely necessary’,2020-10-15T15:06:57Z,The World Health Organization's warning comes as major European cities go into red alert.,"image captionMeasures against coronavirus are being ramped up in cities across Europe
Tough restrictions are ""absolutely necessary"" to save lives, the World Health Organization (WHO) has warned as E… [+4463 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
45,Coronavirus: Clashes in Naples over tightening restrictions,2020-10-24T07:55:09Z,"Hundreds protested in the southern Italian city, some throwing firecrackers and smoke bombs.","image captionSmoke bombs and firecrackers were thrown
Protesters in Naples opposed to stricter coronavirus measures clashed with police late into the night. 
Some threw smoke bombs and firecrackers… [+2245 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
47,"Coronavirus Has Killed Nearly 10,000 Minks in Utah",2020-10-12T16:10:00Z,"Humans aren’t the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked to the viral pandemic—outbreaks that likely began from con…","Humans arent the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked… [+2192 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
48,"With Russia's Coronavirus Vaccine, Putin Jumps Ahead of Trump",2020-10-13T09:00:08Z,"As America retreats from world affairs, Russia is promising other nations help on the pandemic.","The United States, for example, has secured advance purchase commitments for over 800 million doses of at least six candidate vaccines, all for itself. Compounding an image of selfishness, the Trump … [+2182 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
49,Dating During the Coronavirus Pandemic Means Fear. Again.,2020-10-18T14:28:33Z,I never imagined I’d live to witness another viral threat.,"Others have made different adaptations, seeking companionship over intimacy. Braden Toan, another friend in his 60s, changed his dating profile in May to declare sex off limits. That being said, his … [+2079 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
50,"Coronavirus, Supreme Court, Ikea: Your Wednesday Evening Briefing",2020-10-14T22:05:07Z,Here’s what you need to know at the end of the day.,"10. And finally, what does Los Angeles smell like?
Inspired by the science writer Harold McGees new book about the worlds odors and aromas, Nose Dive, our California restaurant critic used her olfac… [+603 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
51,President Andrzej Duda of Poland Tests Positive for Coronavirus,2020-10-24T11:37:44Z,A spokesman said the head of state was feeling well despite a positive test result. A second political leader is also in isolation after he came in contact with an infected person.,"Mr. Duda visited the stadium on Friday and met with site managers, an encounter that has now raised concerns that the construction will have to be halted. He also met Iga Swiatek, who this month beca… [+1368 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
52,N.F.L. Punishes Titans for Their Handling of Coronavirus Outbreak,2020-10-25T13:50:51Z,"A heavy fine, but no suspensions, come after two dozen players and staff members tested positive for the virus.","Still, the fine, the largest for a violation of the protocols, came as the league tries to keep its season on track amid a spike in infections that has spread to at least four teams. The decision to … [+2104 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
53,"White House Opposes Expanded Coronavirus Testing, Complicating Stimulus Talks",2020-10-16T22:14:56Z,Some administration officials say testing Americans with no symptoms of the coronavirus would hurt the economy and restrict civil liberties. Democrats and some prominent experts say it would slow the virus and bolster economic growth.,"No testing scheme, no test is perfect. There will always be people who go undetected, said Dr. David Dowdy, an infectious disease epidemiologist at Johns Hopkins University who has researched and wri… [+2055 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
54,Trump Mimics Coronavirus ‘Superspreader’ Event in Barrett Swearing In,2020-10-27T13:08:12Z,Amy Coney Barrett was confirmed as the next Supreme Court justice only eight days before a presidential election.,"Justice Barrett, 48, who has seven children, will be the current courts youngest member, its third woman, its sixth Catholic and its only jurist from outside the Ivy League. A graduate of Notre Dame … [+2027 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
55,Harrowing New Coronavirus Surge Rages Across America’s Heartland,2020-10-24T13:45:33Z,"The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resumed after pausing for safety concerns.","LiveUpdated Oct. 24, 2020, 9:31 a.m. ET
Oct. 24, 2020, 9:31 a.m. ET
The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resum… [+14587 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
56,SUNY Oneonta President Resigns After 700 Students Test Positive for Coronavirus,2020-10-15T22:40:58Z,The State University of New York at Oneonta had the worst coronavirus outbreak of any public university in the state.,"Although the university did not directly tie Dr. Morriss resignation to its handling of the outbreak, state and local officials at a news conference on Thursday announcing the change praised the effo… [+1682 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
57,Can I Safely Send My Kid to Day Care? We Asked the Experts,2020-10-23T13:29:11Z,"As states struggle with reopening, parents are scrambling to figure out child care amid a fall surge of coronavirus.","When it comes to transmission of Covid-19 through day cares, data remains scarce.
Nevertheless, studies from several countries have found that, once they are exposed, kids under 10 are about half as… [+2078 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
58,The I.M.F. sees early signs of a global economic recovery.,2020-10-13T12:30:05Z,The world finance group warns that the crisis is “far from over” and that uncertainty over the coronavirus pandemic remains.,"The recession is hammering both advanced and emerging economies. The United States economy is expected to contract 4.3 percent this year, and the eurozone economy is projected to shrink 8.3 percent, … [+1109 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
59,"China Got Better. We Got Sicker. Thanks, Trump.",2020-10-13T23:50:48Z,"With a different leader, the United States could have contained the coronavirus.","America cannot employ such a strategy. We dont have an authoritarian government (yet), and I sure dont want one. But we failed to produce a democratic consensus to do the same job.
Thats what is so … [+2026 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
60,Coronavirus: Argentina's confirmed cases surpass one million,2020-10-20T02:07:03Z,The South American nation becomes the fifth country in the world to reach the grim milestone.,"image captionThe outbreak has intensified in the past few months in Argentina - especially in the Buenos Aires province
Argentina has become the fifth country in the world to record one million conf… [+877 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
61,"Why False Positives Matter, Too",2020-10-25T09:00:15Z,False negatives are not the only troublesome outcome of a faulty coronavirus test.,"The ever-increasing availability of virtual platforms might make that transition easy for some, Dr. Mazer said. But for people whose work can only be done in person, or who lack a financial buffer, t… [+2237 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
63,Coronavirus: Europe’s tough restrictions ‘absolutely necessary’,2020-10-15T15:06:57Z,The World Health Organization's warning comes as major European cities go into red alert.,"image captionMeasures against coronavirus are being ramped up in cities across Europe
Tough restrictions are ""absolutely necessary"" to save lives, the World Health Organization (WHO) has warned as E… [+4463 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
65,Coronavirus: Clashes in Naples over tightening restrictions,2020-10-24T07:55:09Z,"Hundreds protested in the southern Italian city, some throwing firecrackers and smoke bombs.","image captionSmoke bombs and firecrackers were thrown
Protesters in Naples opposed to stricter coronavirus measures clashed with police late into the night. 
Some threw smoke bombs and firecrackers… [+2245 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
67,"Coronavirus Has Killed Nearly 10,000 Minks in Utah",2020-10-12T16:10:00Z,"Humans aren’t the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked to the viral pandemic—outbreaks that likely began from con…","Humans arent the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked… [+2192 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
68,"With Russia's Coronavirus Vaccine, Putin Jumps Ahead of Trump",2020-10-13T09:00:08Z,"As America retreats from world affairs, Russia is promising other nations help on the pandemic.","The United States, for example, has secured advance purchase commitments for over 800 million doses of at least six candidate vaccines, all for itself. Compounding an image of selfishness, the Trump … [+2182 chars]","['#chars', '#image', '#Dr.', '#said', '#Argentina']"
69,Dating During the Coronavirus Pandemic Means Fear. Again.,2020-10-18T14:28:33Z,I never imagined I’d live to witness another viral threat.,"Others have made different adaptations, seeking companionship over intimacy. Braden Toan, another friend in his 60s, changed his dating profile in May to declare sex off limits. That being said, his … [+2079 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
70,"Coronavirus, Supreme Court, Ikea: Your Wednesday Evening Briefing",2020-10-14T22:05:07Z,Here’s what you need to know at the end of the day.,"10. And finally, what does Los Angeles smell like?
Inspired by the science writer Harold McGees new book about the worlds odors and aromas, Nose Dive, our California restaurant critic used her olfac… [+603 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
71,President Andrzej Duda of Poland Tests Positive for Coronavirus,2020-10-24T11:37:44Z,A spokesman said the head of state was feeling well despite a positive test result. A second political leader is also in isolation after he came in contact with an infected person.,"Mr. Duda visited the stadium on Friday and met with site managers, an encounter that has now raised concerns that the construction will have to be halted. He also met Iga Swiatek, who this month beca… [+1368 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
72,N.F.L. Punishes Titans for Their Handling of Coronavirus Outbreak,2020-10-25T13:50:51Z,"A heavy fine, but no suspensions, come after two dozen players and staff members tested positive for the virus.","Still, the fine, the largest for a violation of the protocols, came as the league tries to keep its season on track amid a spike in infections that has spread to at least four teams. The decision to … [+2104 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
73,"White House Opposes Expanded Coronavirus Testing, Complicating Stimulus Talks",2020-10-16T22:14:56Z,Some administration officials say testing Americans with no symptoms of the coronavirus would hurt the economy and restrict civil liberties. Democrats and some prominent experts say it would slow the virus and bolster economic growth.,"No testing scheme, no test is perfect. There will always be people who go undetected, said Dr. David Dowdy, an infectious disease epidemiologist at Johns Hopkins University who has researched and wri… [+2055 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
74,Trump Mimics Coronavirus ‘Superspreader’ Event in Barrett Swearing In,2020-10-27T13:08:12Z,Amy Coney Barrett was confirmed as the next Supreme Court justice only eight days before a presidential election.,"Justice Barrett, 48, who has seven children, will be the current courts youngest member, its third woman, its sixth Catholic and its only jurist from outside the Ivy League. A graduate of Notre Dame … [+2027 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
75,Harrowing New Coronavirus Surge Rages Across America’s Heartland,2020-10-24T13:45:33Z,"The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resumed after pausing for safety concerns.","LiveUpdated Oct. 24, 2020, 9:31 a.m. ET
Oct. 24, 2020, 9:31 a.m. ET
The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resum… [+14587 chars]","['#chars', '#image', '#said', '#Dr.', '#Argentina']"
76,SUNY Oneonta President Resigns After 700 Students Test Positive for Coronavirus,2020-10-15T22:40:58Z,The State University of New York at Oneonta had the worst coronavirus outbreak of any public university in the state.,"Although the university did not directly tie Dr. Morriss resignation to its handling of the outbreak, state and local officials at a news conference on Thursday announcing the change praised the effo… [+1682 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
77,Can I Safely Send My Kid to Day Care? We Asked the Experts,2020-10-23T13:29:11Z,"As states struggle with reopening, parents are scrambling to figure out child care amid a fall surge of coronavirus.","When it comes to transmission of Covid-19 through day cares, data remains scarce.
Nevertheless, studies from several countries have found that, once they are exposed, kids under 10 are about half as… [+2078 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
78,The I.M.F. sees early signs of a global economic recovery.,2020-10-13T12:30:05Z,The world finance group warns that the crisis is “far from over” and that uncertainty over the coronavirus pandemic remains.,"The recession is hammering both advanced and emerging economies. The United States economy is expected to contract 4.3 percent this year, and the eurozone economy is projected to shrink 8.3 percent, … [+1109 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
79,"China Got Better. We Got Sicker. Thanks, Trump.",2020-10-13T23:50:48Z,"With a different leader, the United States could have contained the coronavirus.","America cannot employ such a strategy. We dont have an authoritarian government (yet), and I sure dont want one. But we failed to produce a democratic consensus to do the same job.
Thats what is so … [+2026 chars]","['#chars', '#image', '#Dr.', '#said', '#outbreak']"
